,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.     0.     0.     0.     0.125  0.1875 0.1875 0.375  0.4375 0.4375
 0.625  0.625  0.75   0.875  1.    ]","[0.         0.14285714 0.35714286 0.42857143 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.64285714 0.64285714 0.78571429
 0.92857143 1.         1.        ]",0.6808035714285714,0.5333333333333333,0.5714285714285714,0.5517241379310344,0.5714285714285714,0.5625,0.5669642857142857,0.5666666666666667,0.5669467095138409,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022452ECDA30>,KNeighborsClassifier,"{'n_neighbors': 31, 'p': 2, 'weights': 'uniform'}",0
1,"[0.     0.     0.     0.0625 0.0625 0.0625 0.25   0.3125 0.3125 0.4375
 0.4375 0.5625 0.625  0.625  0.625  0.75   0.9375 1.    ]","[0.         0.14285714 0.28571429 0.28571429 0.35714286 0.5
 0.5        0.5        0.57142857 0.57142857 0.71428571 0.71428571
 0.78571429 0.92857143 1.         1.         1.         1.        ]",0.7254464285714286,0.6153846153846154,0.5714285714285714,0.5925925925925927,0.5714285714285714,0.6875,0.6294642857142857,0.6333333333333333,0.6267831705280087,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022452E7FE50>,RandomForestClassifier,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.2, 'min_samples_leaf': 1, 'n_estimators': 30, 'oob_score': True, 'random_state': 3}",0
2,"[0.     0.125  0.125  0.125  0.375  0.4375 0.5625 0.5625 0.625  0.6875
 0.6875 0.75   1.    ]","[0.         0.14285714 0.35714286 0.42857143 0.42857143 0.5
 0.57142857 0.64285714 0.64285714 0.71428571 0.78571429 0.78571429
 1.        ]",0.5669642857142857,0.5,0.5,0.5,0.5,0.5625,0.53125,0.5333333333333333,0.5303300858899106,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000224564D8CA0>,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 7, 'random_state': 3, 'splitter': 'best'}",0
3,"[0.     0.     0.     0.0625 0.0625 0.125  0.125  0.25   0.25   0.5625
 0.5625 0.6875 0.6875 1.    ]","[0.         0.07142857 0.28571429 0.28571429 0.5        0.5
 0.57142857 0.57142857 0.64285714 0.64285714 0.85714286 0.85714286
 1.         1.        ]",0.7410714285714286,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.5714285714285714,0.75,0.6607142857142857,0.6666666666666667,0.6546536707079771,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022452FB9160>,SVC,"{'C': 0.2, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly', 'probability': True, 'random_state': 3}",0
4,"[0.     0.     0.     0.0625 0.0625 0.125  0.125  0.3125 0.3125 0.4375
 0.4375 0.625  0.625  0.6875 0.6875 1.    ]","[0.         0.07142857 0.21428571 0.21428571 0.35714286 0.35714286
 0.57142857 0.57142857 0.64285714 0.64285714 0.71428571 0.71428571
 0.78571429 0.78571429 1.         1.        ]",0.71875,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6875,0.6651785714285714,0.6666666666666667,0.6648039453209388,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022452F17370>,MLPClassifier,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (14,), 'learning_rate': 'constant', 'random_state': 3, 'solver': 'adam'}",0
5,"[0.     0.     0.     0.1875 0.1875 0.3125 0.3125 0.375  0.375  0.4375
 0.4375 0.5625 0.5625 0.75   0.75   1.    ]","[0.         0.07142857 0.28571429 0.28571429 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.57142857 0.64285714 0.64285714
 0.92857143 0.92857143 1.         1.        ]",0.6785714285714286,0.5294117647058824,0.6428571428571429,0.5806451612903226,0.6428571428571429,0.5,0.5714285714285714,0.5666666666666667,0.5669467095138409,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000224532E3A90>,GradientBoostingClassifier,"{'learning_rate': 0.1, 'loss': 'exponential', 'max_depth': 3, 'min_samples_leaf': 31, 'random_state': 3}",0
6,"[0.     0.     0.     0.     0.     0.125  0.125  0.125  0.25   0.75
 0.9375 1.    ]","[0.         0.21428571 0.35714286 0.57142857 0.78571429 0.78571429
 0.92857143 1.         1.         1.         1.         1.        ]",0.9732142857142857,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.7857142857142857,0.875,0.8303571428571428,0.8333333333333333,0.82915619758885,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000224534B1790>,KNeighborsClassifier,"{'n_neighbors': 35, 'p': 2, 'weights': 'uniform'}",1
7,"[0.     0.     0.     0.     0.     0.     0.     0.0625 0.1875 0.25
 0.25   0.375  0.5625 0.6875 0.875  1.    ]","[0.         0.07142857 0.14285714 0.28571429 0.57142857 0.71428571
 0.85714286 0.92857143 0.92857143 0.92857143 1.         1.
 1.         1.         1.         1.        ]",0.9799107142857143,1.0,0.7857142857142857,0.88,0.7857142857142857,1.0,0.8928571428571428,0.8999999999999999,0.8864052604279183,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000224528199D0>,RandomForestClassifier,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'max_samples': 0.3, 'min_samples_leaf': 1, 'n_estimators': 30, 'oob_score': True, 'random_state': 3}",1
8,"[0.     0.     0.0625 0.0625 0.125  0.25   0.25   0.25   0.3125 0.5
 0.625  1.    ]","[0.         0.21428571 0.21428571 0.5        0.5        0.57142857
 0.85714286 0.92857143 0.92857143 1.         1.         1.        ]",0.8504464285714286,0.75,0.8571428571428571,0.7999999999999999,0.8571428571428571,0.75,0.8035714285714286,0.8,0.8017837257372731,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002245A2DFC70>,DecisionTreeClassifier,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 9, 'random_state': 3, 'splitter': 'best'}",1
9,[0.     0.     0.     0.1875 0.1875 0.3125 0.3125 1.    ],"[0.         0.07142857 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]",0.9642857142857143,1.0,0.8571428571428571,0.923076923076923,0.8571428571428571,1.0,0.9285714285714286,0.9333333333333333,0.9258200997725514,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022458DB0250>,SVC,"{'C': 1.0, 'degree': 0, 'gamma': 'scale', 'kernel': 'linear', 'probability': True, 'random_state': 3}",1
10,[0.     0.     0.     0.1875 0.1875 1.    ],[0.         0.07142857 0.85714286 0.85714286 1.         1.        ],0.9732142857142857,1.0,0.8571428571428571,0.923076923076923,0.8571428571428571,1.0,0.9285714285714286,0.9333333333333333,0.9258200997725514,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022458919280>,MLPClassifier,"{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (14,), 'learning_rate': 'constant', 'random_state': 3, 'solver': 'adam'}",1
