,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.         0.01612903 0.01612903 0.01612903 0.03225806 0.03225806
 0.0483871  0.0483871  0.09677419 0.14516129 0.19354839 0.24193548
 0.25806452 0.32258065 0.33870968 0.41935484 0.43548387 0.51612903
 0.59677419 0.70967742 0.80645161 0.91935484 1.        ]","[0.         0.32283465 0.44094488 0.56692913 0.61417323 0.65354331
 0.68503937 0.7007874  0.72440945 0.75590551 0.77165354 0.80314961
 0.81889764 0.85826772 0.87401575 0.88976378 0.91338583 0.92913386
 0.95275591 0.96062992 0.99212598 0.99212598 1.        ]",0.8801117602235206,0.8909090909090909,0.7716535433070866,0.8270042194092827,0.7716535433070866,0.8064516129032258,0.7890525781051562,0.783068783068783,0.7888607257320452,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165DC631190>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 23, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'uniform'}",0
1,"[0.         0.         0.         0.         0.         0.
 0.         0.01612903 0.01612903 0.03225806 0.03225806 0.0483871
 0.0483871  0.06451613 0.06451613 0.08064516 0.08064516 0.09677419
 0.09677419 0.12903226 0.12903226 0.17741935 0.17741935 0.19354839
 0.19354839 0.22580645 0.22580645 0.24193548 0.24193548 0.27419355
 0.27419355 0.29032258 0.29032258 0.30645161 0.30645161 0.35483871
 0.35483871 0.38709677 0.38709677 0.4516129  0.4516129  0.46774194
 0.46774194 0.48387097 0.48387097 0.56451613 0.56451613 0.59677419
 0.59677419 0.87096774 0.87096774 0.90322581 0.90322581 0.98387097
 0.98387097 1.        ]","[0.         0.00787402 0.07086614 0.08661417 0.25984252 0.27559055
 0.56692913 0.56692913 0.64566929 0.64566929 0.65354331 0.65354331
 0.66141732 0.66141732 0.71653543 0.71653543 0.77165354 0.77165354
 0.78740157 0.78740157 0.79527559 0.79527559 0.80314961 0.80314961
 0.81102362 0.81102362 0.81889764 0.81889764 0.83464567 0.83464567
 0.84251969 0.84251969 0.87401575 0.87401575 0.8976378  0.8976378
 0.90551181 0.90551181 0.91338583 0.91338583 0.92125984 0.92125984
 0.92913386 0.92913386 0.93700787 0.93700787 0.96062992 0.96062992
 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598
 1.         1.        ]",0.8991617983235967,0.8947368421052632,0.8031496062992126,0.8464730290456431,0.8031496062992126,0.8064516129032258,0.8048006096012192,0.8042328042328043,0.8047989161291104,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165DABE2940>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.25, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__n_estimators': 35, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",0
2,"[0.         0.01612903 0.01612903 0.01612903 0.01612903 0.01612903
 0.01612903 0.01612903 0.0483871  0.0483871  0.0483871  0.0483871
 0.0483871  0.0483871  0.0483871  0.06451613 0.06451613 0.06451613
 0.08064516 0.11290323 0.11290323 0.11290323 0.11290323 0.14516129
 0.22580645 0.24193548 0.30645161 0.32258065 0.32258065 0.33870968
 0.37096774 0.37096774 0.40322581 0.41935484 0.41935484 0.43548387
 0.4516129  0.5        0.5483871  0.61290323 0.61290323 0.64516129
 0.66129032 0.72580645 0.75806452 0.82258065 0.85483871 0.88709677
 0.90322581 0.93548387 1.        ]","[0.         0.18897638 0.23622047 0.26771654 0.27559055 0.33070866
 0.35433071 0.37007874 0.39370079 0.42519685 0.4488189  0.50393701
 0.5511811  0.58267717 0.59055118 0.62204724 0.66141732 0.69291339
 0.69291339 0.69291339 0.7007874  0.72440945 0.74015748 0.76377953
 0.77165354 0.78740157 0.81102362 0.83464567 0.84251969 0.87401575
 0.88188976 0.88976378 0.88976378 0.88976378 0.92125984 0.92913386
 0.92913386 0.92913386 0.94488189 0.94488189 0.96062992 0.96062992
 0.96062992 0.96062992 0.96062992 0.96062992 0.99212598 0.99212598
 0.99212598 1.         1.        ]",0.8646812293624587,0.9306930693069307,0.7401574803149606,0.824561403508772,0.7401574803149606,0.8870967741935484,0.8136271272542546,0.7883597883597884,0.8103032229866955,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165DC60C5E0>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 27, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",0
3,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.16129032 0.16129032 0.17741935
 0.17741935 0.19354839 0.19354839 0.20967742 0.20967742 0.25806452
 0.25806452 0.29032258 0.29032258 0.30645161 0.30645161 0.33870968
 0.33870968 0.35483871 0.35483871 0.37096774 0.37096774 0.40322581
 0.40322581 0.5        0.5        0.51612903 0.51612903 0.58064516
 0.58064516 0.70967742 0.70967742 0.74193548 0.74193548 0.77419355
 0.77419355 0.82258065 0.82258065 0.83870968 0.83870968 1.        ]","[0.         0.00787402 0.11811024 0.11811024 0.20472441 0.20472441
 0.23622047 0.23622047 0.43307087 0.43307087 0.70866142 0.70866142
 0.71653543 0.71653543 0.74015748 0.74015748 0.80314961 0.80314961
 0.81889764 0.81889764 0.82677165 0.82677165 0.8503937  0.8503937
 0.85826772 0.85826772 0.86614173 0.86614173 0.87401575 0.87401575
 0.88188976 0.88188976 0.8976378  0.8976378  0.90551181 0.90551181
 0.92125984 0.92125984 0.92913386 0.92913386 0.93700787 0.93700787
 0.95275591 0.95275591 0.96850394 0.96850394 0.97637795 0.97637795
 0.98425197 0.98425197 0.99212598 0.99212598 1.         1.        ]",0.8703327406654814,0.9038461538461539,0.7401574803149606,0.8138528138528138,0.7401574803149606,0.8387096774193549,0.7894335788671578,0.7724867724867726,0.7878941816985852,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165DC7461C0>,SVC,"{'svc__C': 1.0, 'svc__degree': 0, 'svc__gamma': 'scale', 'svc__kernel': 'rbf', 'svc__probability': True, 'svc__random_state': 3}",0
4,"[0.         0.         0.         0.01612903 0.01612903 0.0483871
 0.0483871  0.08064516 0.08064516 0.09677419 0.09677419 0.12903226
 0.12903226 0.16129032 0.16129032 0.19354839 0.19354839 0.22580645
 0.22580645 0.24193548 0.24193548 0.25806452 0.25806452 0.27419355
 0.27419355 0.29032258 0.29032258 0.33870968 0.33870968 0.35483871
 0.35483871 0.37096774 0.37096774 0.4516129  0.4516129  0.51612903
 0.51612903 0.64516129 0.64516129 0.80645161 0.80645161 0.91935484
 0.91935484 1.        ]","[0.         0.00787402 0.43307087 0.43307087 0.60629921 0.60629921
 0.72440945 0.72440945 0.77165354 0.77165354 0.79527559 0.79527559
 0.80314961 0.80314961 0.81889764 0.81889764 0.82677165 0.82677165
 0.83464567 0.83464567 0.84251969 0.84251969 0.88188976 0.88188976
 0.88976378 0.88976378 0.8976378  0.8976378  0.91338583 0.91338583
 0.92125984 0.92125984 0.93700787 0.93700787 0.94488189 0.94488189
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 1.         1.        ]",0.9032258064516129,0.9439252336448598,0.7952755905511811,0.8632478632478633,0.7952755905511811,0.9032258064516129,0.849250698501397,0.8306878306878307,0.8475337377514085,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165E1580F10>,MLPClassifier,"{'mlpclassifier__activation': 'relu', 'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (14,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'adam'}",0
5,"[0.         0.         0.         0.         0.         0.01612903
 0.01612903 0.01612903 0.03225806 0.03225806 0.06451613 0.06451613
 0.08064516 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323
 0.12903226 0.12903226 0.16129032 0.16129032 0.17741935 0.17741935
 0.20967742 0.20967742 0.24193548 0.24193548 0.25806452 0.25806452
 0.27419355 0.27419355 0.29032258 0.29032258 0.33870968 0.33870968
 0.35483871 0.35483871 0.37096774 0.51612903 0.51612903 0.53225806
 0.53225806 0.5483871  0.58064516 0.59677419 0.59677419 0.66129032
 0.66129032 0.91935484 0.91935484 1.        ]","[0.         0.00787402 0.2992126  0.31496063 0.59055118 0.59055118
 0.5984252  0.61417323 0.61417323 0.65354331 0.65354331 0.67716535
 0.67716535 0.69291339 0.69291339 0.70866142 0.70866142 0.74015748
 0.74015748 0.77165354 0.77165354 0.80314961 0.80314961 0.81889764
 0.81889764 0.83464567 0.83464567 0.84251969 0.84251969 0.8503937
 0.8503937  0.86614173 0.86614173 0.87401575 0.87401575 0.88188976
 0.88188976 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.9069723139446279,0.9107142857142857,0.8031496062992126,0.8535564853556485,0.8031496062992126,0.8387096774193549,0.8209296418592837,0.8148148148148149,0.8207370755721314,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165E176A2B0>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'log_loss', 'gradientboostingclassifier__max_depth': 3, 'gradientboostingclassifier__min_samples_leaf': 1, 'gradientboostingclassifier__random_state': 3}",0
6,"[0.         0.01612903 0.01612903 0.01612903 0.01612903 0.01612903
 0.03225806 0.03225806 0.03225806 0.0483871  0.0483871  0.0483871
 0.0483871  0.08064516 0.09677419 0.09677419 0.12903226 0.16129032
 0.20967742 0.27419355 0.35483871 0.38709677 0.38709677 0.46774194
 0.56451613 0.67741935 0.80645161 0.83870968 0.9516129  1.
 1.        ]","[0.         0.18897638 0.24409449 0.28346457 0.36220472 0.43307087
 0.44094488 0.48818898 0.49606299 0.51181102 0.52755906 0.56692913
 0.5984252  0.62992126 0.66141732 0.66929134 0.69291339 0.69291339
 0.7480315  0.79527559 0.81102362 0.85826772 0.88188976 0.8976378
 0.91338583 0.93700787 0.96850394 0.97637795 0.98425197 0.99212598
 1.        ]",0.8442341884683768,0.9340659340659341,0.6692913385826772,0.779816513761468,0.6692913385826772,0.9032258064516129,0.786258572517145,0.746031746031746,0.777509619903457,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165E14693A0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 31, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'uniform'}",1
7,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.08064516 0.08064516 0.11290323
 0.11290323 0.14516129 0.14516129 0.16129032 0.16129032 0.17741935
 0.17741935 0.19354839 0.19354839 0.20967742 0.20967742 0.22580645
 0.22580645 0.24193548 0.24193548 0.27419355 0.27419355 0.29032258
 0.29032258 0.30645161 0.30645161 0.33870968 0.33870968 0.35483871
 0.35483871 0.37096774 0.37096774 0.38709677 0.38709677 0.41935484
 0.41935484 0.46774194 0.46774194 0.5        0.5        0.51612903
 0.51612903 0.69354839 0.69354839 0.80645161 0.80645161 0.90322581
 0.90322581 0.91935484 0.91935484 1.        ]","[0.         0.00787402 0.32283465 0.32283465 0.47244094 0.47244094
 0.51968504 0.51968504 0.63779528 0.63779528 0.64566929 0.64566929
 0.7007874  0.7007874  0.70866142 0.70866142 0.71653543 0.71653543
 0.73228346 0.73228346 0.7480315  0.7480315  0.77952756 0.77952756
 0.78740157 0.78740157 0.80314961 0.80314961 0.81102362 0.81102362
 0.83464567 0.83464567 0.84251969 0.84251969 0.8503937  0.8503937
 0.86614173 0.86614173 0.88976378 0.88976378 0.91338583 0.91338583
 0.92125984 0.92125984 0.93700787 0.93700787 0.94488189 0.94488189
 0.95275591 0.95275591 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.8696977393954788,0.8921568627450981,0.7165354330708661,0.7947598253275109,0.7165354330708661,0.8225806451612904,0.7695580391160782,0.7513227513227513,0.767729235353427,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165DC100190>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.25, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__n_estimators': 45, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",1
8,"[0.         0.         0.         0.01612903 0.01612903 0.01612903
 0.01612903 0.01612903 0.03225806 0.0483871  0.06451613 0.08064516
 0.11290323 0.12903226 0.12903226 0.12903226 0.14516129 0.16129032
 0.17741935 0.20967742 0.20967742 0.22580645 0.25806452 0.29032258
 0.33870968 0.37096774 0.38709677 0.38709677 0.41935484 0.41935484
 0.4516129  0.4516129  0.51612903 0.5483871  0.5483871  0.58064516
 0.58064516 0.59677419 0.61290323 0.64516129 0.67741935 0.67741935
 0.72580645 0.83870968 0.90322581 0.91935484 1.        ]","[0.         0.27559055 0.30708661 0.35433071 0.36220472 0.39370079
 0.40944882 0.43307087 0.47244094 0.48031496 0.49606299 0.52755906
 0.52755906 0.53543307 0.56692913 0.61417323 0.62204724 0.63779528
 0.63779528 0.66929134 0.71653543 0.71653543 0.7480315  0.7480315
 0.75590551 0.75590551 0.76377953 0.78740157 0.78740157 0.81102362
 0.84251969 0.86614173 0.87401575 0.90551181 0.91338583 0.91338583
 0.92125984 0.92125984 0.92913386 0.92913386 0.95275591 0.96850394
 0.96850394 0.99212598 0.99212598 0.99212598 1.        ]",0.8202311404622808,0.8666666666666667,0.7165354330708661,0.7844827586206896,0.7165354330708661,0.7741935483870968,0.7453644907289814,0.7354497354497354,0.7448067598204375,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165DC75AAF0>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 23, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",1
9,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.12903226 0.14516129 0.16129032 0.16129032 0.17741935 0.17741935
 0.19354839 0.19354839 0.20967742 0.20967742 0.22580645 0.22580645
 0.25806452 0.25806452 0.29032258 0.29032258 0.30645161 0.30645161
 0.32258065 0.32258065 0.33870968 0.33870968 0.37096774 0.37096774
 0.38709677 0.38709677 0.41935484 0.41935484 0.43548387 0.43548387
 0.4516129  0.4516129  0.48387097 0.48387097 0.56451613 0.56451613
 0.75806452 0.75806452 0.79032258 0.79032258 0.90322581 0.90322581
 0.9516129  0.9516129  1.        ]","[0.         0.00787402 0.23622047 0.23622047 0.37007874 0.37007874
 0.54330709 0.54330709 0.5511811  0.5511811  0.58267717 0.58267717
 0.5984252  0.5984252  0.65354331 0.65354331 0.66929134 0.66929134
 0.67716535 0.67716535 0.68503937 0.70866142 0.70866142 0.7480315
 0.7480315  0.77165354 0.77165354 0.78740157 0.78740157 0.80314961
 0.80314961 0.83464567 0.83464567 0.85826772 0.85826772 0.87401575
 0.87401575 0.88188976 0.88188976 0.8976378  0.8976378  0.90551181
 0.90551181 0.91338583 0.91338583 0.92125984 0.92125984 0.92913386
 0.92913386 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992
 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795 0.99212598
 0.99212598 1.         1.        ]",0.8673482346964694,0.9230769230769231,0.6614173228346457,0.7706422018348625,0.6614173228346457,0.8870967741935484,0.774257048514097,0.7354497354497355,0.7659903220552771,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165E1A4DD30>,SVC,"{'svc__C': 0.2, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",1
10,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.12903226 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839
 0.19354839 0.20967742 0.20967742 0.22580645 0.22580645 0.24193548
 0.24193548 0.29032258 0.29032258 0.30645161 0.30645161 0.38709677
 0.38709677 0.4516129  0.4516129  0.46774194 0.46774194 0.48387097
 0.48387097 0.5        0.5        0.56451613 0.56451613 0.66129032
 0.66129032 0.69354839 0.69354839 0.77419355 0.77419355 0.87096774
 0.87096774 1.        ]","[0.         0.00787402 0.34645669 0.34645669 0.39370079 0.39370079
 0.54330709 0.54330709 0.55905512 0.55905512 0.56692913 0.56692913
 0.62204724 0.62204724 0.64566929 0.64566929 0.65354331 0.65354331
 0.66141732 0.66141732 0.7480315  0.7480315  0.75590551 0.75590551
 0.77165354 0.77165354 0.79527559 0.79527559 0.80314961 0.80314961
 0.81889764 0.81889764 0.88976378 0.88976378 0.8976378  0.8976378
 0.90551181 0.90551181 0.92125984 0.92125984 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 1.         1.        ]",0.8723647447294897,0.9130434782608695,0.6614173228346457,0.767123287671233,0.6614173228346457,0.8709677419354839,0.7661925323850648,0.7301587301587302,0.7589948301182983,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165E1A4DF40>,MLPClassifier,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 0.05, 'mlpclassifier__hidden_layer_sizes': (4,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'adam'}",1
11,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.12903226 0.12903226 0.14516129 0.14516129 0.16129032
 0.16129032 0.17741935 0.17741935 0.22580645 0.22580645 0.27419355
 0.27419355 0.30645161 0.30645161 0.32258065 0.32258065 0.35483871
 0.35483871 0.37096774 0.37096774 0.38709677 0.38709677 0.41935484
 0.41935484 0.43548387 0.43548387 0.4516129  0.4516129  0.46774194
 0.46774194 0.5        0.5        0.53225806 0.53225806 0.62903226
 0.62903226 0.64516129 0.64516129 0.66129032 0.66129032 0.74193548
 0.74193548 0.80645161 0.80645161 0.87096774 0.87096774 0.9516129
 0.9516129  1.         1.        ]","[0.         0.00787402 0.19685039 0.19685039 0.2519685  0.2519685
 0.46456693 0.46456693 0.62992126 0.62992126 0.64566929 0.64566929
 0.66141732 0.66141732 0.67716535 0.67716535 0.70866142 0.70866142
 0.71653543 0.71653543 0.74015748 0.74015748 0.77165354 0.77165354
 0.78740157 0.78740157 0.79527559 0.79527559 0.81889764 0.81889764
 0.82677165 0.82677165 0.83464567 0.83464567 0.84251969 0.84251969
 0.8503937  0.8503937  0.85826772 0.85826772 0.88188976 0.88188976
 0.88976378 0.88976378 0.92125984 0.92125984 0.92913386 0.92913386
 0.93700787 0.93700787 0.94488189 0.94488189 0.96062992 0.96062992
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.        ]",0.8437896875793751,0.9,0.7086614173228346,0.7929515418502202,0.7086614173228346,0.8387096774193549,0.7736855473710947,0.7513227513227513,0.770948239976185,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165DC795190>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'exponential', 'gradientboostingclassifier__max_depth': 5, 'gradientboostingclassifier__min_samples_leaf': 31, 'gradientboostingclassifier__random_state': 3}",1
12,"[0.         0.         0.03225806 0.06451613 0.06451613 0.08064516
 0.09677419 0.09677419 0.09677419 0.09677419 0.12903226 0.14516129
 0.14516129 0.17741935 0.19354839 0.30645161 0.33870968 0.5
 0.53225806 0.62903226 0.66129032 0.79032258 0.83870968 0.93548387
 1.        ]","[0.         0.24409449 0.29133858 0.37007874 0.48031496 0.52755906
 0.54330709 0.5511811  0.5984252  0.61417323 0.64566929 0.69291339
 0.70866142 0.7480315  0.79527559 0.81102362 0.83464567 0.84251969
 0.86614173 0.90551181 0.93700787 0.96062992 0.99212598 1.
 1.        ]",0.8291846583693168,0.9090909090909091,0.7086614173228346,0.7964601769911505,0.7086614173228346,0.8548387096774194,0.781750063500127,0.7566137566137565,0.7783259031937863,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165E1A1DAF0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 23, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'uniform'}",2
13,"[0.         0.         0.         0.         0.         0.01612903
 0.01612903 0.03225806 0.03225806 0.0483871  0.0483871  0.06451613
 0.06451613 0.08064516 0.08064516 0.09677419 0.09677419 0.12903226
 0.12903226 0.14516129 0.14516129 0.16129032 0.16129032 0.17741935
 0.17741935 0.29032258 0.29032258 0.33870968 0.33870968 0.37096774
 0.37096774 0.46774194 0.46774194 0.48387097 0.48387097 0.5
 0.5        0.53225806 0.53225806 0.56451613 0.56451613 0.58064516
 0.58064516 0.59677419 0.59677419 0.61290323 0.61290323 0.70967742
 0.70967742 0.72580645 0.72580645 0.90322581 0.90322581 0.91935484
 0.91935484 0.93548387 0.93548387 1.         1.        ]","[0.         0.00787402 0.07086614 0.1023622  0.42519685 0.42519685
 0.43307087 0.43307087 0.48031496 0.48031496 0.51968504 0.51968504
 0.59055118 0.59055118 0.60629921 0.60629921 0.69291339 0.69291339
 0.71653543 0.71653543 0.72440945 0.72440945 0.77165354 0.77165354
 0.79527559 0.79527559 0.81102362 0.81102362 0.81889764 0.81889764
 0.83464567 0.83464567 0.84251969 0.84251969 0.85826772 0.85826772
 0.86614173 0.86614173 0.88976378 0.88976378 0.90551181 0.90551181
 0.92125984 0.92125984 0.93700787 0.93700787 0.95275591 0.95275591
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 0.98425197 0.98425197 0.99212598 0.99212598 1.        ]",0.8473456946913893,0.9047619047619048,0.7480314960629921,0.8189655172413793,0.7480314960629921,0.8387096774193549,0.7933705867411736,0.7777777777777778,0.792074021012247,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165E399FD90>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.3, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__n_estimators': 35, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",2
14,"[0.         0.01612903 0.03225806 0.03225806 0.03225806 0.03225806
 0.03225806 0.06451613 0.08064516 0.08064516 0.08064516 0.16129032
 0.16129032 0.17741935 0.22580645 0.24193548 0.27419355 0.29032258
 0.32258065 0.38709677 0.40322581 0.40322581 0.4516129  0.4516129
 0.46774194 0.5        0.5        0.53225806 0.53225806 0.5483871
 0.62903226 0.69354839 0.72580645 0.72580645 0.79032258 0.79032258
 0.82258065 0.83870968 0.83870968 0.87096774 0.88709677 1.        ]","[0.         0.31496063 0.31496063 0.35433071 0.37795276 0.40944882
 0.44094488 0.4488189  0.49606299 0.53543307 0.59055118 0.5984252
 0.61417323 0.64566929 0.68503937 0.69291339 0.72440945 0.75590551
 0.75590551 0.76377953 0.78740157 0.79527559 0.81102362 0.81889764
 0.85826772 0.87401575 0.88188976 0.88976378 0.92125984 0.92125984
 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992 0.96850394
 0.96850394 0.96850394 0.97637795 0.99212598 0.99212598 1.        ]",0.8117221234442469,0.8440366972477065,0.7244094488188977,0.7796610169491526,0.7244094488188977,0.7258064516129032,0.7251079502159005,0.7248677248677249,0.7251076137802603,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165E399FF10>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 29, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",2
15,"[0.         0.         0.         0.         0.         0.01612903
 0.01612903 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.12903226 0.14516129 0.14516129 0.17741935 0.17741935 0.27419355
 0.27419355 0.29032258 0.29032258 0.33870968 0.33870968 0.38709677
 0.38709677 0.40322581 0.40322581 0.51612903 0.51612903 0.56451613
 0.56451613 0.58064516 0.58064516 0.61290323 0.61290323 0.64516129
 0.64516129 0.66129032 0.66129032 0.69354839 0.69354839 0.74193548
 0.74193548 0.85483871 0.85483871 0.88709677 0.88709677 0.91935484
 0.91935484 0.93548387 0.93548387 1.        ]","[0.         0.00787402 0.05511811 0.07086614 0.4015748  0.4015748
 0.48818898 0.48818898 0.55905512 0.55905512 0.56692913 0.56692913
 0.57480315 0.57480315 0.64566929 0.64566929 0.7480315  0.7480315
 0.78740157 0.78740157 0.79527559 0.79527559 0.80314961 0.80314961
 0.81889764 0.81889764 0.82677165 0.82677165 0.83464567 0.83464567
 0.86614173 0.86614173 0.88188976 0.88188976 0.88976378 0.88976378
 0.90551181 0.90551181 0.91338583 0.91338583 0.92125984 0.92125984
 0.92913386 0.92913386 0.93700787 0.93700787 0.94488189 0.94488189
 0.95275591 0.95275591 0.96850394 0.96850394 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.8542037084074168,0.9278350515463918,0.7086614173228346,0.8035714285714286,0.7086614173228346,0.8870967741935484,0.7978790957581915,0.7671957671957672,0.7928753100598571,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000165E38C12E0>,SVC,"{'svc__C': 0.2, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",2
