,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.         0.01612903 0.01612903 0.0483871  0.0483871  0.06451613
 0.06451613 0.08064516 0.08064516 0.09677419 0.09677419 0.12903226
 0.12903226 0.14516129 0.14516129 0.16129032 0.16129032 0.19354839
 0.19354839 0.24193548 0.24193548 0.25806452 0.25806452 0.27419355
 0.27419355 0.30645161 0.30645161 0.32258065 0.32258065 0.33870968
 0.33870968 0.35483871 0.35483871 0.53225806 0.53225806 0.5483871
 0.5483871  0.61290323 0.61290323 0.70967742 0.70967742 0.80645161
 0.80645161 0.96774194 1.        ]","[0.         0.1496063  0.57480315 0.57480315 0.62204724 0.62204724
 0.68503937 0.68503937 0.7007874  0.7007874  0.72440945 0.72440945
 0.73228346 0.73228346 0.7480315  0.7480315  0.76377953 0.76377953
 0.81889764 0.81889764 0.84251969 0.84251969 0.86614173 0.86614173
 0.87401575 0.87401575 0.8976378  0.8976378  0.92125984 0.92125984
 0.92913386 0.92913386 0.94488189 0.94488189 0.95275591 0.95275591
 0.96850394 0.96850394 0.97637795 0.97637795 0.99212598 0.99212598
 1.         1.         1.        ]",0.893256286512573,0.8671875,0.8740157480314961,0.8705882352941177,0.8740157480314961,0.7258064516129032,0.7999110998221997,0.8253968253968254,0.7964711349022873,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FCB614F0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 35, 'kneighborsclassifier__p': 2, 'kneighborsclassifier__weights': 'distance'}",0
1,"[0.         0.         0.         0.         0.         0.01612903
 0.01612903 0.03225806 0.03225806 0.0483871  0.0483871  0.06451613
 0.06451613 0.08064516 0.08064516 0.09677419 0.09677419 0.11290323
 0.11290323 0.12903226 0.12903226 0.14516129 0.14516129 0.17741935
 0.17741935 0.19354839 0.19354839 0.20967742 0.20967742 0.24193548
 0.24193548 0.25806452 0.25806452 0.30645161 0.30645161 0.40322581
 0.40322581 0.43548387 0.43548387 0.4516129  0.4516129  0.53225806
 0.53225806 0.59677419 0.59677419 0.62903226 0.62903226 0.66129032
 0.66129032 0.69354839 0.69354839 0.80645161 0.80645161 0.83870968
 0.83870968 1.        ]","[0.         0.00787402 0.29133858 0.30708661 0.4015748  0.4015748
 0.51968504 0.51968504 0.55905512 0.55905512 0.62992126 0.62992126
 0.64566929 0.64566929 0.66141732 0.66141732 0.67716535 0.67716535
 0.70866142 0.70866142 0.72440945 0.72440945 0.77952756 0.77952756
 0.78740157 0.78740157 0.81102362 0.81102362 0.81889764 0.81889764
 0.8503937  0.8503937  0.88188976 0.88188976 0.8976378  0.8976378
 0.90551181 0.90551181 0.91338583 0.91338583 0.94488189 0.94488189
 0.95275591 0.95275591 0.96062992 0.96062992 0.96850394 0.96850394
 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598
 1.         1.        ]",0.889509779019558,0.8956521739130435,0.8110236220472441,0.8512396694214877,0.8110236220472441,0.8064516129032258,0.808737617475235,0.8095238095238095,0.8087343866206111,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FEAC8100>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.25, 'randomforestclassifier__min_samples_leaf': 16, 'randomforestclassifier__n_estimators': 35, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",0
2,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.0483871  0.08064516 0.09677419 0.09677419 0.09677419 0.09677419
 0.09677419 0.09677419 0.09677419 0.11290323 0.11290323 0.11290323
 0.16129032 0.17741935 0.20967742 0.27419355 0.30645161 0.35483871
 0.37096774 0.38709677 0.40322581 0.4516129  0.5        0.53225806
 0.59677419 0.62903226 0.66129032 0.75806452 0.80645161 0.85483871
 0.88709677 0.93548387 1.        ]","[0.         0.17322835 0.22047244 0.23622047 0.27559055 0.31496063
 0.37795276 0.41732283 0.46456693 0.47244094 0.51968504 0.52755906
 0.55905512 0.58267717 0.66141732 0.67716535 0.68503937 0.74015748
 0.75590551 0.77165354 0.78740157 0.79527559 0.81889764 0.85826772
 0.86614173 0.86614173 0.87401575 0.88188976 0.88188976 0.8976378
 0.92125984 0.96850394 0.97637795 0.97637795 0.99212598 1.
 1.         1.         1.        ]",0.8478536957073914,0.8849557522123894,0.7874015748031497,0.8333333333333335,0.7874015748031497,0.7903225806451613,0.7888620777241555,0.7883597883597884,0.7888607257320454,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FE48E430>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 29, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",0
3,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.11290323 0.11290323 0.12903226 0.12903226 0.16129032
 0.16129032 0.17741935 0.17741935 0.19354839 0.19354839 0.25806452
 0.25806452 0.27419355 0.27419355 0.30645161 0.30645161 0.33870968
 0.33870968 0.35483871 0.35483871 0.43548387 0.43548387 0.46774194
 0.46774194 0.51612903 0.51612903 0.53225806 0.53225806 0.5483871
 0.5483871  0.75806452 0.75806452 0.87096774 0.87096774 1.        ]","[0.         0.00787402 0.02362205 0.02362205 0.04724409 0.04724409
 0.25984252 0.25984252 0.4488189  0.4488189  0.53543307 0.53543307
 0.75590551 0.75590551 0.76377953 0.76377953 0.77165354 0.77165354
 0.79527559 0.79527559 0.81102362 0.81102362 0.81889764 0.81889764
 0.87401575 0.87401575 0.8976378  0.8976378  0.92125984 0.92125984
 0.92913386 0.92913386 0.93700787 0.93700787 0.94488189 0.94488189
 0.95275591 0.95275591 0.96062992 0.96062992 0.96850394 0.96850394
 0.97637795 0.97637795 0.99212598 0.99212598 1.         1.        ]",0.8783337566675133,0.8682170542635659,0.8818897637795275,0.875,0.8818897637795275,0.7258064516129032,0.8038481076962154,0.8306878306878307,0.8000507984887962,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FEAC86A0>,SVC,"{'svc__C': 0.5, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",0
4,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.12903226 0.14516129 0.14516129 0.16129032 0.16129032 0.17741935
 0.17741935 0.22580645 0.22580645 0.24193548 0.24193548 0.25806452
 0.25806452 0.27419355 0.27419355 0.32258065 0.32258065 0.33870968
 0.33870968 0.40322581 0.40322581 0.46774194 0.46774194 0.59677419
 0.59677419 0.62903226 0.62903226 0.69354839 0.69354839 0.72580645
 0.72580645 1.        ]","[0.         0.00787402 0.13385827 0.13385827 0.4488189  0.4488189
 0.63779528 0.63779528 0.66929134 0.66929134 0.69291339 0.69291339
 0.7007874  0.7007874  0.7480315  0.7480315  0.79527559 0.79527559
 0.80314961 0.80314961 0.81889764 0.81889764 0.83464567 0.83464567
 0.8503937  0.8503937  0.85826772 0.85826772 0.8976378  0.8976378
 0.91338583 0.91338583 0.92913386 0.92913386 0.94488189 0.94488189
 0.95275591 0.95275591 0.96062992 0.96062992 0.96850394 0.96850394
 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598
 1.         1.        ]",0.911480822961646,0.8828125,0.889763779527559,0.8862745098039215,0.889763779527559,0.7580645161290323,0.8239141478282956,0.8465608465608465,0.8212784844355159,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FE45DDC0>,MLPClassifier,"{'mlpclassifier__activation': 'relu', 'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (8,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'lbfgs'}",0
5,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.03225806 0.03225806 0.06451613
 0.06451613 0.08064516 0.08064516 0.09677419 0.09677419 0.11290323
 0.11290323 0.12903226 0.12903226 0.14516129 0.14516129 0.17741935
 0.17741935 0.20967742 0.20967742 0.25806452 0.25806452 0.27419355
 0.27419355 0.29032258 0.29032258 0.32258065 0.32258065 0.38709677
 0.38709677 0.41935484 0.41935484 0.43548387 0.43548387 0.46774194
 0.46774194 0.5        0.5        0.51612903 0.51612903 0.56451613
 0.56451613 0.72580645 0.72580645 1.        ]","[0.         0.00787402 0.01574803 0.03149606 0.11023622 0.12598425
 0.13385827 0.15748031 0.16535433 0.18110236 0.23622047 0.2519685
 0.58267717 0.5984252  0.64566929 0.64566929 0.66141732 0.66141732
 0.67716535 0.67716535 0.7007874  0.7007874  0.75590551 0.75590551
 0.77165354 0.77165354 0.79527559 0.79527559 0.82677165 0.82677165
 0.84251969 0.84251969 0.8503937  0.8503937  0.85826772 0.85826772
 0.86614173 0.86614173 0.91338583 0.91338583 0.92125984 0.92125984
 0.93700787 0.93700787 0.94488189 0.94488189 0.95275591 0.95275591
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 0.99212598 0.99212598 1.         1.        ]",0.9178308356616713,0.8615384615384616,0.8818897637795275,0.8715953307392996,0.8818897637795275,0.7096774193548387,0.7957835915671831,0.8253968253968254,0.7911114028469717,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FF058970>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'log_loss', 'gradientboostingclassifier__max_depth': 3, 'gradientboostingclassifier__min_samples_leaf': 11, 'gradientboostingclassifier__random_state': 3}",0
6,"[0.         0.         0.01612903 0.01612903 0.03225806 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.16129032 0.19354839 0.24193548 0.27419355 0.29032258 0.32258065
 0.40322581 0.41935484 0.48387097 0.5483871  0.62903226 0.67741935
 0.77419355 0.80645161 0.93548387 0.98387097 1.         1.        ]","[0.         0.20472441 0.33858268 0.39370079 0.48818898 0.50393701
 0.5984252  0.63779528 0.66141732 0.68503937 0.73228346 0.74015748
 0.74015748 0.77952756 0.79527559 0.81102362 0.84251969 0.87401575
 0.88976378 0.90551181 0.91338583 0.91338583 0.92913386 0.92913386
 0.95275591 0.96062992 0.97637795 0.98425197 0.98425197 1.        ]",0.8542672085344171,0.8583333333333333,0.8110236220472441,0.8340080971659919,0.8110236220472441,0.7258064516129032,0.7684150368300737,0.783068783068783,0.7672328051461007,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FE580B20>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 31, 'kneighborsclassifier__p': 2, 'kneighborsclassifier__weights': 'uniform'}",1
7,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.12903226 0.14516129 0.14516129 0.16129032 0.16129032 0.17741935
 0.17741935 0.19354839 0.19354839 0.20967742 0.20967742 0.25806452
 0.25806452 0.32258065 0.32258065 0.33870968 0.33870968 0.35483871
 0.35483871 0.40322581 0.40322581 0.41935484 0.41935484 0.5
 0.5        0.51612903 0.51612903 0.53225806 0.53225806 0.5483871
 0.5483871  0.56451613 0.56451613 0.62903226 0.62903226 0.64516129
 0.64516129 0.69354839 0.69354839 0.75806452 0.75806452 0.83870968
 0.83870968 0.87096774 0.87096774 0.98387097 0.98387097 1.        ]","[0.         0.00787402 0.30708661 0.30708661 0.40944882 0.40944882
 0.46456693 0.46456693 0.53543307 0.53543307 0.5511811  0.5511811
 0.5984252  0.5984252  0.60629921 0.60629921 0.72440945 0.72440945
 0.73228346 0.73228346 0.7480315  0.7480315  0.76377953 0.76377953
 0.77952756 0.77952756 0.78740157 0.78740157 0.79527559 0.79527559
 0.80314961 0.80314961 0.81102362 0.81102362 0.82677165 0.82677165
 0.83464567 0.83464567 0.8503937  0.8503937  0.87401575 0.87401575
 0.88188976 0.88188976 0.90551181 0.90551181 0.92125984 0.92125984
 0.92913386 0.92913386 0.93700787 0.93700787 0.94488189 0.94488189
 0.96062992 0.96062992 0.96850394 0.96850394 0.97637795 0.97637795
 0.98425197 0.98425197 0.99212598 0.99212598 1.         1.        ]",0.8524257048514097,0.912621359223301,0.7401574803149606,0.817391304347826,0.7401574803149606,0.8548387096774194,0.7974980949961901,0.7777777777777778,0.7954340107328395,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FEFA0490>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.3, 'randomforestclassifier__min_samples_leaf': 11, 'randomforestclassifier__n_estimators': 20, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",1
8,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.06451613 0.06451613 0.08064516
 0.12903226 0.12903226 0.16129032 0.16129032 0.19354839 0.20967742
 0.20967742 0.22580645 0.22580645 0.24193548 0.25806452 0.29032258
 0.33870968 0.35483871 0.38709677 0.41935484 0.43548387 0.46774194
 0.5        0.5483871  0.67741935 0.70967742 0.75806452 0.79032258
 0.83870968 0.88709677 0.90322581 0.93548387 0.96774194 1.        ]","[0.         0.26771654 0.31496063 0.37795276 0.4015748  0.41732283
 0.44094488 0.48031496 0.49606299 0.52755906 0.54330709 0.55905512
 0.5984252  0.62992126 0.65354331 0.69291339 0.70866142 0.70866142
 0.7480315  0.77952756 0.78740157 0.80314961 0.82677165 0.82677165
 0.82677165 0.8503937  0.86614173 0.87401575 0.87401575 0.88976378
 0.8976378  0.92125984 0.92913386 0.92913386 0.94488189 0.96062992
 0.97637795 0.97637795 0.98425197 0.98425197 1.         1.        ]",0.8456311912623826,0.8333333333333334,0.8267716535433071,0.8300395256916996,0.8267716535433071,0.6612903225806451,0.7440309880619761,0.7724867724867726,0.7394160489684998,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FCB61190>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': None, 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 21, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",1
9,"[0.         0.         0.01612903 0.01612903 0.03225806 0.03225806
 0.0483871  0.0483871  0.06451613 0.06451613 0.09677419 0.09677419
 0.11290323 0.11290323 0.12903226 0.12903226 0.17741935 0.17741935
 0.19354839 0.19354839 0.20967742 0.20967742 0.22580645 0.22580645
 0.24193548 0.24193548 0.25806452 0.25806452 0.29032258 0.29032258
 0.30645161 0.30645161 0.32258065 0.33870968 0.33870968 0.35483871
 0.35483871 0.37096774 0.37096774 0.38709677 0.38709677 0.40322581
 0.40322581 0.48387097 0.48387097 0.5483871  0.5483871  0.64516129
 0.64516129 0.69354839 0.69354839 0.70967742 0.70967742 0.72580645
 0.72580645 0.87096774 0.87096774 0.91935484 0.91935484 0.96774194
 0.96774194 1.        ]","[0.         0.00787402 0.00787402 0.30708661 0.30708661 0.32283465
 0.32283465 0.36220472 0.36220472 0.37007874 0.37007874 0.50393701
 0.50393701 0.62204724 0.62204724 0.72440945 0.72440945 0.73228346
 0.73228346 0.75590551 0.75590551 0.79527559 0.79527559 0.81889764
 0.81889764 0.83464567 0.83464567 0.84251969 0.84251969 0.8503937
 0.8503937  0.85826772 0.85826772 0.86614173 0.87401575 0.87401575
 0.8976378  0.8976378  0.90551181 0.90551181 0.91338583 0.91338583
 0.92125984 0.92125984 0.92913386 0.92913386 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.95275591 0.96850394 0.96850394
 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598
 1.         1.        ]",0.8425831851663702,0.8699186991869918,0.84251968503937,0.8559999999999999,0.84251968503937,0.7419354838709677,0.7922275844551689,0.8095238095238095,0.7906296542569728,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FEE5AF70>,SVC,"{'svc__C': 1.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",1
10,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.17741935 0.17741935 0.20967742
 0.20967742 0.22580645 0.22580645 0.24193548 0.24193548 0.25806452
 0.25806452 0.29032258 0.29032258 0.35483871 0.35483871 0.37096774
 0.37096774 0.40322581 0.40322581 0.41935484 0.41935484 0.46774194
 0.46774194 0.5483871  0.5483871  0.59677419 0.59677419 0.62903226
 0.62903226 0.66129032 0.66129032 0.67741935 0.67741935 0.72580645
 0.72580645 0.79032258 0.79032258 0.85483871 0.85483871 0.87096774
 0.87096774 1.        ]","[0.         0.00787402 0.18110236 0.18110236 0.33070866 0.33070866
 0.38582677 0.38582677 0.48031496 0.48031496 0.51181102 0.51181102
 0.55905512 0.55905512 0.60629921 0.60629921 0.65354331 0.65354331
 0.70866142 0.70866142 0.73228346 0.73228346 0.80314961 0.80314961
 0.81102362 0.81102362 0.81889764 0.81889764 0.82677165 0.82677165
 0.83464567 0.83464567 0.8503937  0.8503937  0.85826772 0.85826772
 0.87401575 0.87401575 0.8976378  0.8976378  0.90551181 0.90551181
 0.91338583 0.91338583 0.92913386 0.92913386 0.93700787 0.93700787
 0.94488189 0.94488189 0.96062992 0.96062992 0.96850394 0.96850394
 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598
 1.         1.        ]",0.8536957073914148,0.8320610687022901,0.8582677165354331,0.8449612403100776,0.8582677165354331,0.6451612903225806,0.7517145034290069,0.7883597883597884,0.7441243897643827,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FF172100>,MLPClassifier,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 0.05, 'mlpclassifier__hidden_layer_sizes': (8,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'lbfgs'}",1
11,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839
 0.19354839 0.22580645 0.22580645 0.25806452 0.25806452 0.29032258
 0.29032258 0.32258065 0.32258065 0.33870968 0.33870968 0.37096774
 0.37096774 0.40322581 0.40322581 0.41935484 0.41935484 0.4516129
 0.4516129  0.46774194 0.46774194 0.48387097 0.48387097 0.5
 0.5        0.56451613 0.56451613 0.59677419 0.59677419 0.70967742
 0.70967742 0.74193548 0.74193548 0.87096774 0.87096774 1.        ]","[0.         0.00787402 0.24409449 0.24409449 0.33858268 0.33858268
 0.55905512 0.55905512 0.63779528 0.63779528 0.66929134 0.66929134
 0.71653543 0.71653543 0.73228346 0.73228346 0.74015748 0.74015748
 0.75590551 0.75590551 0.77165354 0.77165354 0.77952756 0.77952756
 0.79527559 0.79527559 0.81102362 0.81102362 0.81889764 0.81889764
 0.83464567 0.83464567 0.84251969 0.84251969 0.8503937  0.8503937
 0.85826772 0.85826772 0.86614173 0.86614173 0.87401575 0.87401575
 0.88188976 0.88188976 0.88976378 0.88976378 0.90551181 0.90551181
 0.92125984 0.92125984 0.92913386 0.92913386 0.95275591 0.95275591
 0.96850394 0.96850394 0.97637795 0.97637795 1.         1.        ]",0.8662687325374651,0.8412698412698413,0.8346456692913385,0.8379446640316206,0.8346456692913385,0.6774193548387096,0.7560325120650241,0.783068783068783,0.7519342596332884,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A1006BE2E0>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'exponential', 'gradientboostingclassifier__max_depth': 4, 'gradientboostingclassifier__min_samples_leaf': 6, 'gradientboostingclassifier__random_state': 3}",1
12,"[0.         0.         0.01612903 0.03225806 0.08064516 0.11290323
 0.14516129 0.14516129 0.16129032 0.20967742 0.29032258 0.38709677
 0.43548387 0.48387097 0.67741935 0.72580645 0.72580645 0.88709677
 0.93548387 1.        ]","[0.         0.26771654 0.43307087 0.51968504 0.59055118 0.62992126
 0.69291339 0.71653543 0.76377953 0.80314961 0.81889764 0.82677165
 0.86614173 0.88976378 0.93700787 0.95275591 0.96062992 0.99212598
 1.         1.        ]",0.8522352044704088,0.813953488372093,0.8267716535433071,0.8203125,0.8267716535433071,0.6129032258064516,0.7198374396748793,0.7566137566137566,0.7118504150887508,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A10035F130>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 23, 'kneighborsclassifier__p': 1, 'kneighborsclassifier__weights': 'uniform'}",2
13,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.01612903 0.01612903 0.03225806 0.03225806
 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516 0.08064516
 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226 0.12903226
 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839 0.19354839
 0.22580645 0.22580645 0.30645161 0.30645161 0.37096774 0.37096774
 0.38709677 0.38709677 0.41935484 0.41935484 0.46774194 0.46774194
 0.5        0.5        0.53225806 0.53225806 0.56451613 0.56451613
 0.58064516 0.58064516 0.61290323 0.61290323 0.62903226 0.62903226
 0.70967742 0.70967742 0.82258065 0.82258065 0.87096774 0.87096774
 0.96774194 0.96774194 1.        ]","[0.         0.00787402 0.02362205 0.04724409 0.07874016 0.09448819
 0.11023622 0.47244094 0.47244094 0.48031496 0.48031496 0.54330709
 0.54330709 0.56692913 0.56692913 0.57480315 0.57480315 0.62992126
 0.62992126 0.66141732 0.66141732 0.69291339 0.69291339 0.7007874
 0.7007874  0.72440945 0.72440945 0.76377953 0.76377953 0.78740157
 0.78740157 0.82677165 0.82677165 0.83464567 0.83464567 0.84251969
 0.84251969 0.8503937  0.8503937  0.85826772 0.85826772 0.88188976
 0.88188976 0.90551181 0.90551181 0.91338583 0.91338583 0.92125984
 0.92125984 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992
 0.96062992 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598
 0.99212598 1.         1.        ]",0.8610617221234441,0.8981481481481481,0.7637795275590551,0.825531914893617,0.7637795275590551,0.8225806451612904,0.7931800863601728,0.783068783068783,0.7926350083995237,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FEEFF4F0>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.3, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__n_estimators': 30, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",2
14,"[0.         0.01612903 0.01612903 0.01612903 0.01612903 0.01612903
 0.01612903 0.0483871  0.06451613 0.06451613 0.06451613 0.06451613
 0.06451613 0.09677419 0.11290323 0.11290323 0.11290323 0.16129032
 0.16129032 0.17741935 0.20967742 0.22580645 0.22580645 0.29032258
 0.32258065 0.35483871 0.37096774 0.40322581 0.40322581 0.43548387
 0.43548387 0.4516129  0.48387097 0.5483871  0.56451613 0.56451613
 0.61290323 0.64516129 0.67741935 0.75806452 0.80645161 0.85483871
 0.88709677 0.90322581 0.93548387 0.93548387 1.        ]","[0.         0.11023622 0.14173228 0.18110236 0.20472441 0.28346457
 0.29133858 0.33070866 0.37007874 0.41732283 0.4488189  0.48818898
 0.49606299 0.5511811  0.55905512 0.60629921 0.63779528 0.66141732
 0.67716535 0.68503937 0.7007874  0.70866142 0.74015748 0.7480315
 0.79527559 0.81102362 0.83464567 0.85826772 0.86614173 0.88188976
 0.88976378 0.88976378 0.88976378 0.88976378 0.90551181 0.93700787
 0.95275591 0.96062992 0.96062992 0.96850394 0.97637795 0.97637795
 0.97637795 0.97637795 0.97637795 0.98425197 1.        ]",0.8234696469392938,0.8407079646017699,0.7480314960629921,0.7916666666666666,0.7480314960629921,0.7096774193548387,0.7288544577089154,0.7354497354497355,0.7286021285462481,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A104041220>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_features': 'sqrt', 'decisiontreeclassifier__min_samples_leaf': 21, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",2
15,"[0.         0.         0.         0.         0.         0.01612903
 0.01612903 0.03225806 0.03225806 0.0483871  0.0483871  0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.14516129
 0.14516129 0.17741935 0.17741935 0.19354839 0.19354839 0.25806452
 0.25806452 0.37096774 0.37096774 0.41935484 0.41935484 0.43548387
 0.43548387 0.53225806 0.53225806 0.5483871  0.5483871  0.59677419
 0.59677419 0.61290323 0.61290323 0.64516129 0.64516129 0.66129032
 0.66129032 0.67741935 0.67741935 0.87096774 0.87096774 0.88709677
 0.88709677 1.        ]","[0.         0.00787402 0.30708661 0.32283465 0.41732283 0.41732283
 0.52755906 0.52755906 0.56692913 0.56692913 0.58267717 0.58267717
 0.65354331 0.65354331 0.68503937 0.68503937 0.7007874  0.7007874
 0.71653543 0.71653543 0.77165354 0.77165354 0.81102362 0.81102362
 0.84251969 0.84251969 0.8503937  0.8503937  0.85826772 0.85826772
 0.87401575 0.87401575 0.88188976 0.88188976 0.88976378 0.88976378
 0.8976378  0.8976378  0.90551181 0.90551181 0.92125984 0.92125984
 0.95275591 0.95275591 0.96062992 0.96062992 0.96850394 0.96850394
 1.         1.        ]",0.8556007112014223,0.8699186991869918,0.84251968503937,0.8559999999999999,0.84251968503937,0.7419354838709677,0.7922275844551689,0.8095238095238095,0.7906296542569728,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000001A0FC44D8B0>,SVC,"{'svc__C': 0.5, 'svc__degree': 0, 'svc__gamma': 'scale', 'svc__kernel': 'linear', 'svc__probability': True, 'svc__random_state': 3}",2
