,fpr,tpr,auc,precision,recall,f1,sensitivity,specificity,macro_acc,micro_acc,g_mean,confusion_matrix,model_name,best_params,fold
0,"[0.         0.01612903 0.01612903 0.03225806 0.03225806 0.06451613
 0.06451613 0.08064516 0.08064516 0.09677419 0.09677419 0.12903226
 0.12903226 0.14516129 0.14516129 0.16129032 0.16129032 0.17741935
 0.17741935 0.19354839 0.19354839 0.20967742 0.20967742 0.27419355
 0.27419355 0.29032258 0.29032258 0.32258065 0.32258065 0.35483871
 0.35483871 0.40322581 0.40322581 0.43548387 0.43548387 0.48387097
 0.48387097 0.5483871  0.5483871  0.56451613 0.56451613 0.82258065
 0.82258065 0.9516129  1.        ]","[0.         0.17322835 0.54330709 0.54330709 0.60629921 0.60629921
 0.65354331 0.65354331 0.69291339 0.69291339 0.71653543 0.71653543
 0.72440945 0.72440945 0.77165354 0.77165354 0.78740157 0.78740157
 0.80314961 0.80314961 0.81889764 0.81889764 0.83464567 0.83464567
 0.8503937  0.8503937  0.88976378 0.88976378 0.90551181 0.90551181
 0.92125984 0.92125984 0.94488189 0.94488189 0.95275591 0.95275591
 0.96062992 0.96062992 0.96850394 0.96850394 0.98425197 0.98425197
 1.         1.         1.        ]",0.8931927863855728,0.8947368421052632,0.8031496062992126,0.8464730290456431,0.8031496062992126,0.8064516129032258,0.8048006096012192,0.8042328042328043,0.8047989161291104,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000221039A17F0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 33, 'kneighborsclassifier__p': 3, 'kneighborsclassifier__weights': 'distance'}",0
1,"[0.         0.         0.         0.03225806 0.03225806 0.0483871
 0.0483871  0.06451613 0.06451613 0.08064516 0.08064516 0.09677419
 0.09677419 0.11290323 0.11290323 0.16129032 0.16129032 0.17741935
 0.17741935 0.20967742 0.20967742 0.22580645 0.22580645 0.25806452
 0.25806452 0.29032258 0.29032258 0.30645161 0.30645161 0.32258065
 0.32258065 0.40322581 0.40322581 0.41935484 0.41935484 0.4516129
 0.4516129  0.58064516 0.58064516 0.62903226 0.62903226 0.75806452
 0.75806452 0.77419355 0.77419355 1.        ]","[0.         0.00787402 0.51968504 0.51968504 0.5511811  0.5511811
 0.66141732 0.66141732 0.69291339 0.69291339 0.74015748 0.74015748
 0.7480315  0.7480315  0.75590551 0.75590551 0.81102362 0.81102362
 0.81889764 0.81889764 0.83464567 0.83464567 0.85826772 0.85826772
 0.86614173 0.86614173 0.88188976 0.88188976 0.88976378 0.88976378
 0.91338583 0.91338583 0.92913386 0.92913386 0.94488189 0.94488189
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.9053848107696216,0.9043478260869565,0.8188976377952756,0.859504132231405,0.8188976377952756,0.8225806451612904,0.820739141478283,0.82010582010582,0.8207370755721314,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002210506E670>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.3, 'randomforestclassifier__min_samples_leaf': 11, 'randomforestclassifier__n_estimators': 45, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",0
2,"[0.         0.03225806 0.03225806 0.0483871  0.08064516 0.08064516
 0.09677419 0.09677419 0.09677419 0.09677419 0.09677419 0.14516129
 0.14516129 0.16129032 0.16129032 0.16129032 0.17741935 0.19354839
 0.20967742 0.20967742 0.22580645 0.25806452 0.30645161 0.32258065
 0.33870968 0.38709677 0.38709677 0.4516129  0.5        0.5483871
 0.56451613 0.56451613 0.64516129 0.67741935 0.69354839 0.72580645
 0.82258065 0.87096774 0.90322581 0.90322581 0.91935484 1.        ]","[0.         0.32283465 0.4015748  0.44094488 0.46456693 0.51968504
 0.55905512 0.56692913 0.58267717 0.61417323 0.62204724 0.64566929
 0.7007874  0.7007874  0.72440945 0.73228346 0.76377953 0.77952756
 0.77952756 0.81889764 0.82677165 0.82677165 0.8976378  0.90551181
 0.90551181 0.91338583 0.92125984 0.92125984 0.93700787 0.93700787
 0.93700787 0.96850394 0.96850394 0.96850394 0.98425197 0.98425197
 0.98425197 0.98425197 0.98425197 0.99212598 0.99212598 1.        ]",0.8618237236474473,0.8918918918918919,0.7795275590551181,0.8319327731092437,0.7795275590551181,0.8064516129032258,0.7929895859791719,0.7883597883597884,0.7928753100598571,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000221054F1C10>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 29, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",0
3,"[0.         0.         0.         0.01612903 0.01612903 0.0483871
 0.0483871  0.06451613 0.06451613 0.08064516 0.08064516 0.09677419
 0.09677419 0.11290323 0.11290323 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.17741935 0.17741935 0.19354839
 0.19354839 0.20967742 0.20967742 0.24193548 0.24193548 0.27419355
 0.27419355 0.29032258 0.29032258 0.30645161 0.30645161 0.32258065
 0.32258065 0.33870968 0.33870968 0.38709677 0.38709677 0.40322581
 0.40322581 0.43548387 0.43548387 0.51612903 0.51612903 0.56451613
 0.56451613 0.67741935 0.67741935 0.74193548 0.74193548 0.75806452
 0.75806452 0.77419355 0.77419355 1.        ]","[0.         0.00787402 0.24409449 0.24409449 0.51968504 0.51968504
 0.62992126 0.62992126 0.64566929 0.64566929 0.66141732 0.66141732
 0.69291339 0.69291339 0.75590551 0.75590551 0.76377953 0.76377953
 0.78740157 0.78740157 0.80314961 0.80314961 0.82677165 0.82677165
 0.83464567 0.83464567 0.84251969 0.84251969 0.8503937  0.8503937
 0.85826772 0.85826772 0.87401575 0.87401575 0.8976378  0.8976378
 0.91338583 0.91338583 0.92913386 0.92913386 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.8957327914655829,0.9099099099099099,0.7952755905511811,0.8487394957983194,0.7952755905511811,0.8387096774193549,0.816992633985268,0.8095238095238095,0.8167039451420987,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000221054F1A30>,SVC,"{'svc__C': 0.2, 'svc__degree': 0, 'svc__gamma': 'scale', 'svc__kernel': 'rbf', 'svc__probability': True, 'svc__random_state': 3}",0
4,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.06451613 0.06451613 0.08064516 0.08064516 0.09677419
 0.09677419 0.11290323 0.11290323 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.22580645 0.22580645 0.24193548
 0.24193548 0.27419355 0.27419355 0.29032258 0.29032258 0.32258065
 0.32258065 0.35483871 0.35483871 0.37096774 0.37096774 0.46774194
 0.46774194 0.53225806 0.53225806 0.59677419 0.59677419 0.85483871
 0.85483871 0.87096774 0.87096774 0.90322581 0.90322581 1.        ]","[0.         0.00787402 0.4488189  0.4488189  0.48031496 0.48031496
 0.5511811  0.5511811  0.73228346 0.73228346 0.74015748 0.74015748
 0.75590551 0.75590551 0.78740157 0.78740157 0.79527559 0.79527559
 0.81102362 0.81102362 0.82677165 0.82677165 0.83464567 0.83464567
 0.87401575 0.87401575 0.88188976 0.88188976 0.8976378  0.8976378
 0.92125984 0.92125984 0.92913386 0.92913386 0.93700787 0.93700787
 0.94488189 0.94488189 0.96062992 0.96062992 0.97637795 0.97637795
 0.98425197 0.98425197 0.99212598 0.99212598 1.         1.        ]",0.9004318008636015,0.911504424778761,0.8110236220472441,0.8583333333333333,0.8110236220472441,0.8387096774193549,0.8248666497332995,0.8201058201058201,0.8247504837383977,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022103FDE880>,MLPClassifier,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'adam'}",0
5,"[0.         0.         0.         0.01612903 0.01612903 0.0483871
 0.0483871  0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.12903226 0.14516129 0.14516129 0.16129032 0.16129032 0.20967742
 0.20967742 0.22580645 0.22580645 0.24193548 0.24193548 0.27419355
 0.27419355 0.29032258 0.29032258 0.30645161 0.30645161 0.37096774
 0.37096774 0.51612903 0.51612903 0.53225806 0.53225806 0.56451613
 0.56451613 0.72580645 0.72580645 1.        ]","[0.         0.00787402 0.36220472 0.36220472 0.61417323 0.61417323
 0.67716535 0.67716535 0.69291339 0.69291339 0.70866142 0.70866142
 0.73228346 0.73228346 0.80314961 0.80314961 0.81889764 0.81889764
 0.82677165 0.82677165 0.83464567 0.83464567 0.85826772 0.85826772
 0.90551181 0.90551181 0.92125984 0.92125984 0.92913386 0.92913386
 0.95275591 0.95275591 0.96062992 0.96062992 0.97637795 0.97637795
 0.98425197 0.98425197 1.         1.        ]",0.9075438150876302,0.9122807017543859,0.8188976377952756,0.863070539419087,0.8188976377952756,0.8387096774193549,0.8288036576073152,0.8253968253968254,0.8287444561713504,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002210A1A90A0>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'exponential', 'gradientboostingclassifier__max_depth': 3, 'gradientboostingclassifier__min_samples_leaf': 6, 'gradientboostingclassifier__random_state': 3}",0
6,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.11290323 0.11290323 0.12903226 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.19354839 0.19354839 0.22580645
 0.22580645 0.25806452 0.25806452 0.29032258 0.29032258 0.30645161
 0.30645161 0.32258065 0.32258065 0.35483871 0.35483871 0.38709677
 0.38709677 0.43548387 0.43548387 0.5        0.5        0.51612903
 0.51612903 0.62903226 0.62903226 0.64516129 0.64516129 0.66129032
 0.66129032 0.77419355 0.77419355 0.80645161 0.80645161 0.90322581
 0.90322581 0.93548387 1.        ]","[0.         0.2519685  0.31496063 0.31496063 0.35433071 0.35433071
 0.39370079 0.39370079 0.44094488 0.44094488 0.63779528 0.63779528
 0.7007874  0.7007874  0.70866142 0.70866142 0.72440945 0.72440945
 0.7480315  0.7480315  0.75590551 0.75590551 0.77165354 0.77165354
 0.79527559 0.79527559 0.80314961 0.80314961 0.82677165 0.82677165
 0.83464567 0.83464567 0.85826772 0.85826772 0.88188976 0.88188976
 0.8976378  0.8976378  0.90551181 0.90551181 0.92125984 0.92125984
 0.92913386 0.92913386 0.93700787 0.93700787 0.94488189 0.94488189
 0.95275591 0.95275591 0.96062992 0.96062992 0.96850394 0.96850394
 0.97637795 0.97637795 1.        ]",0.8556007112014223,0.9278350515463918,0.7086614173228346,0.8035714285714286,0.7086614173228346,0.8870967741935484,0.7978790957581915,0.7671957671957672,0.7928753100598571,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000221050480D0>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 27, 'kneighborsclassifier__p': 2, 'kneighborsclassifier__weights': 'distance'}",1
7,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.12903226 0.14516129 0.14516129 0.16129032 0.16129032 0.17741935
 0.17741935 0.20967742 0.20967742 0.25806452 0.25806452 0.27419355
 0.27419355 0.30645161 0.30645161 0.33870968 0.33870968 0.35483871
 0.35483871 0.38709677 0.38709677 0.41935484 0.41935484 0.43548387
 0.43548387 0.4516129  0.4516129  0.5        0.5        0.51612903
 0.51612903 0.64516129 0.64516129 0.69354839 0.69354839 0.77419355
 0.77419355 0.85483871 0.85483871 0.98387097 0.98387097 1.
 1.        ]","[0.         0.00787402 0.32283465 0.32283465 0.39370079 0.39370079
 0.51181102 0.51181102 0.51968504 0.51968504 0.60629921 0.60629921
 0.66141732 0.66141732 0.70866142 0.70866142 0.73228346 0.73228346
 0.7480315  0.7480315  0.77952756 0.77952756 0.78740157 0.78740157
 0.79527559 0.79527559 0.80314961 0.80314961 0.81102362 0.81102362
 0.81889764 0.81889764 0.8503937  0.8503937  0.85826772 0.85826772
 0.86614173 0.86614173 0.87401575 0.87401575 0.88188976 0.88188976
 0.8976378  0.8976378  0.92125984 0.92125984 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992
 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598 0.99212598
 1.        ]",0.8662687325374651,0.9142857142857143,0.7559055118110236,0.8275862068965518,0.7559055118110236,0.8548387096774194,0.8053721107442215,0.7883597883597884,0.8038515362643681,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000221055F3C70>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.3, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__n_estimators': 35, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",1
8,"[0.         0.         0.01612903 0.01612903 0.01612903 0.01612903
 0.01612903 0.01612903 0.0483871  0.06451613 0.08064516 0.08064516
 0.08064516 0.08064516 0.08064516 0.09677419 0.09677419 0.12903226
 0.16129032 0.24193548 0.25806452 0.27419355 0.29032258 0.29032258
 0.30645161 0.32258065 0.33870968 0.33870968 0.40322581 0.41935484
 0.4516129  0.4516129  0.48387097 0.5        0.5483871  0.56451613
 0.59677419 0.62903226 0.64516129 0.67741935 0.69354839 0.74193548
 0.75806452 0.80645161 0.88709677 1.        ]","[0.         0.38582677 0.40944882 0.4488189  0.45669291 0.48031496
 0.49606299 0.50393701 0.54330709 0.55905512 0.58267717 0.5984252
 0.62992126 0.63779528 0.67716535 0.67716535 0.69291339 0.72440945
 0.72440945 0.73228346 0.73228346 0.77952756 0.80314961 0.81889764
 0.82677165 0.84251969 0.84251969 0.8503937  0.85826772 0.86614173
 0.86614173 0.88976378 0.88976378 0.88976378 0.88976378 0.88976378
 0.88976378 0.8976378  0.92913386 0.92913386 0.92913386 0.93700787
 0.94488189 0.96062992 0.96850394 1.        ]",0.8443611887223775,0.9019607843137255,0.7244094488188977,0.8034934497816595,0.7244094488188977,0.8387096774193549,0.7815595631191263,0.7619047619047619,0.7794672636733568,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022102F6EE80>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'gini', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 15, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",1
9,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.08064516
 0.08064516 0.09677419 0.09677419 0.11290323 0.11290323 0.12903226
 0.12903226 0.16129032 0.16129032 0.17741935 0.19354839 0.19354839
 0.20967742 0.20967742 0.22580645 0.22580645 0.24193548 0.24193548
 0.29032258 0.29032258 0.33870968 0.33870968 0.35483871 0.35483871
 0.37096774 0.37096774 0.38709677 0.38709677 0.40322581 0.40322581
 0.46774194 0.46774194 0.48387097 0.48387097 0.51612903 0.51612903
 0.64516129 0.64516129 0.69354839 0.69354839 0.72580645 0.72580645
 0.74193548 0.74193548 0.82258065 0.82258065 0.85483871 0.85483871
 0.98387097 0.98387097 1.        ]","[0.         0.00787402 0.01574803 0.01574803 0.48818898 0.48818898
 0.51181102 0.51181102 0.52755906 0.52755906 0.53543307 0.53543307
 0.59055118 0.59055118 0.5984252  0.5984252  0.63779528 0.63779528
 0.7007874  0.7007874  0.7480315  0.75590551 0.75590551 0.77165354
 0.77165354 0.79527559 0.79527559 0.81889764 0.81889764 0.84251969
 0.84251969 0.8503937  0.8503937  0.86614173 0.86614173 0.87401575
 0.87401575 0.8976378  0.8976378  0.91338583 0.91338583 0.92125984
 0.92125984 0.92913386 0.92913386 0.93700787 0.93700787 0.94488189
 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992 0.96850394
 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197 0.99212598
 0.99212598 1.         1.        ]",0.8615062230124461,0.9019607843137255,0.7244094488188977,0.8034934497816595,0.7244094488188977,0.8387096774193549,0.7815595631191263,0.7619047619047619,0.7794672636733568,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x0000022102F9D3A0>,SVC,"{'svc__C': 1.0, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'poly', 'svc__probability': True, 'svc__random_state': 3}",1
10,"[0.         0.         0.         0.01612903 0.01612903 0.03225806
 0.03225806 0.0483871  0.0483871  0.06451613 0.06451613 0.09677419
 0.09677419 0.11290323 0.11290323 0.14516129 0.14516129 0.16129032
 0.16129032 0.17741935 0.17741935 0.22580645 0.22580645 0.24193548
 0.24193548 0.25806452 0.25806452 0.27419355 0.27419355 0.29032258
 0.29032258 0.33870968 0.33870968 0.35483871 0.35483871 0.41935484
 0.41935484 0.43548387 0.43548387 0.4516129  0.4516129  0.5
 0.5        0.5483871  0.5483871  0.62903226 0.62903226 0.67741935
 0.67741935 0.75806452 0.75806452 0.85483871 0.85483871 0.90322581
 0.90322581 0.91935484 0.91935484 1.        ]","[0.         0.00787402 0.18110236 0.18110236 0.38582677 0.38582677
 0.42519685 0.42519685 0.51968504 0.51968504 0.65354331 0.65354331
 0.68503937 0.68503937 0.7007874  0.7007874  0.72440945 0.72440945
 0.7480315  0.7480315  0.80314961 0.80314961 0.81102362 0.81102362
 0.81889764 0.81889764 0.83464567 0.83464567 0.85826772 0.85826772
 0.86614173 0.86614173 0.88188976 0.88188976 0.88976378 0.88976378
 0.8976378  0.8976378  0.91338583 0.91338583 0.92125984 0.92125984
 0.93700787 0.93700787 0.94488189 0.94488189 0.95275591 0.95275591
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.8671577343154686,0.925531914893617,0.6850393700787402,0.7873303167420815,0.6850393700787402,0.8870967741935484,0.7860680721361443,0.7513227513227514,0.7795487254767535,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002210C1A1EB0>,MLPClassifier,"{'mlpclassifier__activation': 'identity', 'mlpclassifier__alpha': 0.0001, 'mlpclassifier__hidden_layer_sizes': (2,), 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__random_state': 3, 'mlpclassifier__solver': 'adam'}",1
11,"[0.         0.         0.         0.01612903 0.01612903 0.01612903
 0.01612903 0.03225806 0.03225806 0.0483871  0.0483871  0.06451613
 0.06451613 0.08064516 0.08064516 0.09677419 0.09677419 0.11290323
 0.11290323 0.12903226 0.12903226 0.14516129 0.14516129 0.19354839
 0.19354839 0.27419355 0.27419355 0.29032258 0.29032258 0.32258065
 0.32258065 0.33870968 0.33870968 0.35483871 0.35483871 0.38709677
 0.38709677 0.40322581 0.40322581 0.4516129  0.4516129  0.46774194
 0.46774194 0.48387097 0.48387097 0.5        0.5        0.53225806
 0.53225806 0.5483871  0.5483871  0.61290323 0.61290323 0.62903226
 0.62903226 0.74193548 0.74193548 0.91935484 0.91935484 0.96774194
 0.96774194 1.        ]","[0.         0.00787402 0.22834646 0.22834646 0.24409449 0.25984252
 0.30708661 0.30708661 0.62992126 0.62992126 0.64566929 0.64566929
 0.68503937 0.68503937 0.7007874  0.7007874  0.70866142 0.70866142
 0.73228346 0.73228346 0.74015748 0.74015748 0.77165354 0.77165354
 0.77952756 0.77952756 0.78740157 0.78740157 0.80314961 0.80314961
 0.81102362 0.81102362 0.81889764 0.81889764 0.84251969 0.84251969
 0.85826772 0.85826772 0.86614173 0.86614173 0.87401575 0.87401575
 0.88976378 0.88976378 0.90551181 0.90551181 0.91338583 0.91338583
 0.92913386 0.92913386 0.94488189 0.94488189 0.95275591 0.95275591
 0.96062992 0.96062992 0.96850394 0.96850394 0.99212598 0.99212598
 1.         1.        ]",0.8591567183134365,0.868421052631579,0.7795275590551181,0.8215767634854771,0.7795275590551181,0.7580645161290323,0.7687960375920752,0.7724867724867726,0.7687211340039791,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002210C0413D0>,GradientBoostingClassifier,"{'gradientboostingclassifier__learning_rate': 0.1, 'gradientboostingclassifier__loss': 'exponential', 'gradientboostingclassifier__max_depth': 4, 'gradientboostingclassifier__min_samples_leaf': 11, 'gradientboostingclassifier__random_state': 3}",1
12,"[0.         0.         0.         0.         0.01612903 0.01612903
 0.0483871  0.08064516 0.09677419 0.11290323 0.12903226 0.14516129
 0.14516129 0.16129032 0.16129032 0.19354839 0.22580645 0.35483871
 0.37096774 0.46774194 0.5483871  0.64516129 0.74193548 0.83870968
 0.87096774 0.93548387 1.        ]","[0.         0.22047244 0.24409449 0.36220472 0.4015748  0.4488189
 0.47244094 0.53543307 0.58267717 0.62204724 0.62992126 0.66929134
 0.68503937 0.72440945 0.75590551 0.77165354 0.81102362 0.81889764
 0.87401575 0.87401575 0.90551181 0.92913386 0.96062992 0.97637795
 0.99212598 0.99212598 1.        ]",0.8472186944373888,0.9038461538461539,0.7401574803149606,0.8138528138528138,0.7401574803149606,0.8387096774193549,0.7894335788671578,0.7724867724867726,0.7878941816985852,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002210C0D2F40>,KNeighborsClassifier,"{'kneighborsclassifier__n_neighbors': 27, 'kneighborsclassifier__p': 2, 'kneighborsclassifier__weights': 'uniform'}",2
13,"[0.         0.         0.         0.         0.         0.01612903
 0.01612903 0.03225806 0.03225806 0.0483871  0.0483871  0.06451613
 0.06451613 0.08064516 0.08064516 0.09677419 0.09677419 0.11290323
 0.11290323 0.12903226 0.12903226 0.14516129 0.14516129 0.17741935
 0.17741935 0.19354839 0.19354839 0.20967742 0.20967742 0.22580645
 0.22580645 0.27419355 0.27419355 0.30645161 0.30645161 0.32258065
 0.32258065 0.35483871 0.35483871 0.37096774 0.37096774 0.38709677
 0.38709677 0.40322581 0.40322581 0.43548387 0.43548387 0.4516129
 0.4516129  0.46774194 0.46774194 0.5        0.5        0.53225806
 0.53225806 0.56451613 0.56451613 0.59677419 0.59677419 0.64516129
 0.64516129 0.66129032 0.66129032 0.69354839 0.69354839 0.72580645
 0.72580645 0.74193548 0.74193548 0.79032258 0.79032258 0.80645161
 0.80645161 0.98387097 0.98387097 1.        ]","[0.         0.00787402 0.20472441 0.22047244 0.47244094 0.47244094
 0.49606299 0.49606299 0.51181102 0.51181102 0.52755906 0.52755906
 0.58267717 0.58267717 0.59055118 0.59055118 0.66141732 0.66141732
 0.7007874  0.7007874  0.70866142 0.70866142 0.72440945 0.72440945
 0.73228346 0.73228346 0.75590551 0.75590551 0.77952756 0.77952756
 0.78740157 0.78740157 0.79527559 0.79527559 0.81102362 0.81102362
 0.81889764 0.81889764 0.83464567 0.83464567 0.85826772 0.85826772
 0.86614173 0.86614173 0.87401575 0.87401575 0.88188976 0.88188976
 0.8976378  0.8976378  0.90551181 0.90551181 0.91338583 0.91338583
 0.92125984 0.92125984 0.92913386 0.92913386 0.93700787 0.93700787
 0.94488189 0.94488189 0.95275591 0.95275591 0.96062992 0.96062992
 0.96850394 0.96850394 0.97637795 0.97637795 0.98425197 0.98425197
 0.99212598 0.99212598 1.         1.        ]",0.8576327152654306,0.8888888888888888,0.7559055118110236,0.8170212765957447,0.7559055118110236,0.8064516129032258,0.7811785623571247,0.7724867724867724,0.7807696326077483,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x000002210BF8CC10>,RandomForestClassifier,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__max_samples': 0.25, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__n_estimators': 35, 'randomforestclassifier__oob_score': True, 'randomforestclassifier__random_state': 3}",2
14,"[0.         0.01612903 0.0483871  0.0483871  0.0483871  0.0483871
 0.0483871  0.08064516 0.11290323 0.12903226 0.14516129 0.14516129
 0.17741935 0.17741935 0.20967742 0.24193548 0.32258065 0.38709677
 0.38709677 0.40322581 0.40322581 0.41935484 0.43548387 0.46774194
 0.51612903 0.53225806 0.56451613 0.58064516 0.62903226 0.64516129
 0.66129032 0.69354839 0.72580645 0.75806452 0.79032258 0.80645161
 0.83870968 0.85483871 0.90322581 0.93548387 1.        ]","[0.         0.39370079 0.4015748  0.42519685 0.48818898 0.50393701
 0.54330709 0.5511811  0.57480315 0.63779528 0.63779528 0.65354331
 0.65354331 0.66929134 0.69291339 0.72440945 0.75590551 0.77952756
 0.79527559 0.82677165 0.84251969 0.84251969 0.8503937  0.87401575
 0.88976378 0.88976378 0.8976378  0.8976378  0.8976378  0.90551181
 0.90551181 0.93700787 0.93700787 0.95275591 0.95275591 0.96062992
 0.96062992 0.96850394 0.96850394 0.96850394 1.        ]",0.8128016256032512,0.8598130841121495,0.7244094488188977,0.7863247863247863,0.7244094488188977,0.7580645161290323,0.741236982473965,0.7354497354497355,0.7410459488440623,<sklearn.metrics._plot.confusion_matrix.ConfusionMatrixDisplay object at 0x00000221056F27C0>,DecisionTreeClassifier,"{'decisiontreeclassifier__class_weight': 'balanced', 'decisiontreeclassifier__criterion': 'entropy', 'decisiontreeclassifier__max_features': None, 'decisiontreeclassifier__min_samples_leaf': 27, 'decisiontreeclassifier__random_state': 3, 'decisiontreeclassifier__splitter': 'best'}",2
